"ratebeer_ABV","ratebeer_Added","ratebeer_Score","ratebeer_Style%","ratebeer_rank","ratebeer_beer_name","ratebeer_beer_type"
"301",8,"4/25/2007",3.63,47,1055,"Riptide","8% Imperial Stout"
"302",4.1,"1/18/2011",3.15,32,15,"Riptide 4.1%","4.1% Stout"
"303",10.4,"4/30/2015",3.37,18,18,"Riptide Bowmore","10.4% Imperial Stout"
"304",9.7,"4/30/2015",3.28,14,16,"Riptide Caol Ila","9.7% Imperial Stout"
"305",7.5,"5/7/2011",3.46,44,119,"Royal Virility Performance","7.5% Imperial IPA"
"306",10,"9/11/2014",3.6,74,172,"Russian Doll - Barley Wine","10% Barley Wine"
"307",8,"9/11/2014",3.53,50,160,"Russian Doll - Double IPA","8% Imperial IPA"
"308",6,"9/11/2014",3.44,66,174,"Russian Doll - IPA","6% India Pale Ale "
"309",4,"9/11/2014",3.25,49,153,"Russian Doll - Pale Ale","4% American Pale Ale"
"310",7.2,"12/14/2016",3.57,88,73,"Rye Hammer","7.2% India Pale Ale "
"311",4.5,"10/31/2013",NA,NA,NA,"Santa Paws","4.5% Brown Ale"
"312",7.5,"11/24/2011",3.48,83,35,"Scotch Ale","7.5% Scotch Ale"
"313",6.4,"4/5/2014",NA,NA,NA,"Scottish Chocolate Breakfast Stout","6.4% Stout"
"314",7.4,"12/14/2016",3.63,60,56,"Self Assembly Pope","7.4% Imperial Porter"
"315",7.3,"7/24/2011",NA,NA,NA,"Shareholders Black","7.3% Black IPA"
"316",10,"12/31/2009",3.35,22,17,"Shark","10% Imperial Stout"
"317",13.8,"4/1/2016",3.47,51,135,"Ship Wreck","13.8% American Strong Ale"
"318",41,"2/19/2010",3.37,32,457,"Sink the Bismarck","41% Imperial IPA"
"319",6,"9/26/2013",3.1,NA,5,"Six Impossible Things","6% India Pale Ale "
"320",3.7,"3/18/2010",3.09,NA,4,"Skull Candy","3.7% Bitter"
"321",5,"12/20/2016",3.12,NA,3,"Small Batch Berry Stout","5% Stout"
"322",6.2,"2/3/2017",3.33,NA,8,"Small Batch Cherry Blossom IPA","6.2% India Pale Ale "
"323",4,"8/9/2016",3.36,63,9,"Small Batch Cold Brew Coffee Stout","4% Stout"
"324",8.9,"12/30/2016",3.45,43,12,"Small Batch DIPA","8.9% Imperial IPA"
"325",4.7,"12/30/2016",3,99,10,"Small Batch Loral Lager","4.7% Pale Lager"
"326",8.2,"2/15/2017",3.65,NA,7,"Small Batch Nitro Breakfast Stout","8.2% Imperial Stout"
"327",8.5,"6/28/2016",3.33,28,9,"Small Batch Red","8.5% Imperial IPA"
"328",3.4,"2/6/2017",3.04,10,15,"Small Batch Sorachi Session Saison","3.4% Saison"
"329",12.5,"1/10/2017",2.98,NA,2,"Small Batch Tripel","12.5% Abbey Tripel"
"330",7.4,"1/16/2017",3.77,98,31,"Small Batch Vermont IPA","7.4% India Pale Ale "
"331",5.2,"3/18/2015",3.51,62,108,"Stereo Wolf Stout","5.2% Black IPA"
"332",5,"4/2/2016",3.39,91,16,"Steve<U+0092>s Job","5% Schwarzbier"
"333",8,"1/16/2008",2.7,2,266,"Storm","8% India Pale Ale "
"334",7.1,"10/12/2011",3.48,84,51,"Sunk Punk","7.1% India Pale Ale "
"335",3.2,"9/27/2016",3.24,NA,7,"Super Blueberry Blitz","3.2% Berliner Weisse"
"336",32,"11/26/2009",3.35,17,558,"Tactical Nuclear Penguin","32% Imperial Stout"
"337",55,"7/28/2010",3.37,55,60,"The End Of History","55% Eisbock"
"338",5,"4/25/2007",3.3,89,250,"The Physics","5% Amber Ale"
"339",4.7,"9/3/2014",2.99,76,388,"This. Is. Lager.","4.7% Premium Lager"
"340",5.5,"5/22/2010",3.1,18,30,"TM10","5.5% Saison"
"341",18.2,"5/23/2014",NA,NA,NA,"Tokio*","18.2% Imperial Stout"
"342",12,"7/4/2008",3.84,85,261,"Tokyo","12% Imperial Stout"
"343",13.2,"6/14/2012",3.79,79,79,"Tokyo Rising Sun Highland Edition","13.2% Imperial Stout"
"344",13.2,"6/13/2012",3.93,93,23,"Tokyo Rising Sun Lowland Edition","13.2% Imperial Stout"
"345",16.5,"7/22/2009",3.81,82,1053,"Tokyo*","16.5% Imperial Stout"
"346",7,"5/4/2013",3.08,21,14,"Tongue Tied IPA","7% India Pale Ale "
"347",7,"1/28/2017",3.59,94,27,"Tropic Thunder","7% Stout"
"348",4.9,"12/16/2016",3.44,88,15,"Twin Atlantic Pale Ale","4.9% American Pale Ale"
"349",6.3,"10/30/2013",3.42,90,164,"Unleash the Yeast: American Ale","6.3% American Pale Ale"
"350",6.3,"10/30/2013",3.09,76,169,"Unleash the Yeast: Bavarian Weizen","6.3% German Hefeweizen"
"351",6.3,"10/30/2013",3.07,45,174,"Unleash the Yeast: Belgian Trappist","6.3% Belgian Ale"
"352",9,"3/13/2009",NA,NA,NA,"V2009","9% Imperial IPA"
"353",4.5,"12/14/2014",3.35,72,394,"Vagabond Pale Ale","4.5% American Pale Ale"
"354",4.5,"3/16/2013",3.19,94,26,"Vagabond Pilsner","4.5% Pilsener"
"355",4.3,"5/14/2013",3.03,78,22,"Vice Bier","4.3% Wheat Ale"
"356",7.2,"9/28/2013",NA,NA,NA,"Voodoo Doll","7.2% India Pale Ale "
"357",3.4,"6/26/2014",2.93,38,99,"Vote Sepp","3.4% Witbier"
"358",6.8,"2/8/2017",3.91,99,40,"vs Cloudwater - New England IPA","6.8% India Pale Ale "
"359",35,"6/16/2013",2.96,19,121,"Watt Dickie","35% Eisbock"
"360",9,"4/28/2015",NA,NA,NA,"Whisky Berry","9% Imperial Stout"
"361",6.8,"8/22/2012",3.37,65,12,"White Noise","6.8% India Pale Ale "
"362",6.2,"12/1/2011",NA,NA,NA,"Winter Porter","6.2% Porter"
"363",4.9,"10/17/2008",3.37,90,715,"Zeitgeist","4.9% Schwarzbier"
"364",13,"11/27/2008",3.37,96,71,"Zephyr","13% Fruit Beer"
